trial-num initial-number-people number-of-bars number-of-toilets drink-sales bar-wait-time toilet-wait-time total-wait-time 
1 2000 0 0 0 1 1 2 
2 3000 0 0 0 1 1 2 
3 4000 0 0 0 1 1 2 
4 5000 0 0 0 1 1 2 
5 6000 0 0 0 1 1 2 
6 7000 0 0 0 1 1 2 
7 8000 0 0 0 1 1 2 
8 9000 0 0 0 1 1 2 
9 10000 0 0 0 1 1 2 
10 11000 0 0 0 1 1 2 
trial-num initial-number-people number-of-bars number-of-toilets drink-sales bar-wait-time toilet-wait-time total-wait-time 
1 2000 1 1 0 1 1 2 
2 3000 1 1 0 1 1 2 
3 4000 1 1 0 1 1 2 
4 5000 1 1 0 1 1 2 
5 6000 1 1 0 1 1 2 
6 7000 1 1 0 1 1 2 
7 8000 1 1 0 1 1 2 
8 9000 1 1 0 1 1 2 
9 10000 1 1 0 1 1 2 
10 11000 1 1 0 1 1 2 
